.S..No.,Block,Range
1,Basic Latin,.U+0020....U+007E.
2,Latin-1 Supplement,.U+00A0....U+00FF.
3,Latin Extended-A,.U+0100....U+017F.
4,Latin Extended-B,.U+0180....U+024F.
5,IPA Extensions,.U+0250....U+02AF.
6,Spacing Modifier Letters,.U+02B0....U+02FF.
7,Combining Diacritical Marks,.U+0300....U+036F.
8,Greek,.U+0370....U+03E1.
9,Cyrillic,.U+0400....U+04FF.
10,Cyrillic Supplement,.U+0500....U+052F.
11,Armenian,.U+0530....U+058F.
12,Hebrew,.U+0590....U+05FF.
13,Arabic,.U+0600....U+06FF.
14,Syriac,.U+0700....U+074F.
15,Arabic Supplement,.U+0750....U+077F.
16,Thaana,.U+0780....U+07BF.
17,NKo,.U+07C0....U+07FF.
18,Samaritan,.U+0800....U+083F.
19,Mandaic,.U+0840....U+085F.
20,Syriac Supplement,.U+0860....U+086F.
21,Arabic Extended-B,.U+0870....U+089F.
22,Arabic Extended-A,.U+08A0....U+08FF.
23,Devanagari,.U+0900....U+097F.
24,Bengali,.U+0980....U+09FF.
25,Gurmukhi,.U+0A00....U+0A7F.
26,Gujarati,.U+0A80....U+0AFF.
27,Oriya,.U+0B00....U+0B7F.
28,Tamil,.U+0B80....U+0BFF.
29,Telugu,.U+0C00....U+0C7F.
30,Kannada,.U+0C80....U+0CFF.
31,Malayalam,.U+0D00....U+0D7F.
32,Sinhala,.U+0D80....U+0DFF.
33,Thai,.U+0E00....U+0E7F.
34,Lao,.U+0E80....U+0EFF.
35,Tibetan,.U+0F00....U+0FFF.
36,Myanmar,.U+1000....U+109F.
37,Georgian,.U+10A0....U+10FF.
38,Hangul Jamo,.U+1100....U+11FF.
39,Ethiopic,.U+1200....U+137F.
40,Ethiopic Supplement,.U+1380....U+139F.
41,Cherokee,.U+13A0....U+13FF.
42,Unified Canadian Aboriginal Syllabics,.U+1400....U+167F.
43,Ogham,.U+1680....U+169F.
44,Runic,.U+16A0....U+16FF.
45,Tagalog,.U+1700....U+171F.
46,Hanunoo,.U+1720....U+173F.
47,Buhid,.U+1740....U+175F.
48,Tagbanwa,.U+1760....U+177F.
49,Khmer,.U+1780....U+17FF.
50,Mongolian,.U+1800....U+18AF.
51,Unified Canadian Aboriginal Syllabics Extended,.U+18B0....U+18FF.
52,Limbu,.U+1900....U+194F.
53,Tai Le,.U+1950....U+197F.
54,New Tai Lue,.U+1980....U+19DF.
55,Khmer Symbols,.U+19E0....U+19FF.
56,Buginese,.U+1A00....U+1A1F.
57,Tai Tham,.U+1A20....U+1AAF.
58,Combining Diacritical Marks Extended,.U+1AB0....U+1AFF.
59,Balinese,.U+1B00....U+1B7F.
60,Sundanese,.U+1B80....U+1BBF.
61,Batak,.U+1BC0....U+1BFF.
62,Lepcha,.U+1C00....U+1C4F.
63,Ol Chiki,.U+1C50....U+1C7F.
64,Cyrillic Extended-C,.U+1C80....U+1C8F.
65,Georgian Extended,.U+1C90....U+1CBF.
66,Sundanese Supplement,.U+1CC0....U+1CCF.
67,Vedic Extensions,.U+1CD0....U+1CFF.
68,Phonetic Extensions,.U+1D00....U+1D7F.
69,Phonetic Extensions Supplement,.U+1D80....U+1DBF.
70,Combining Diacritical Marks Supplement,.U+1DC0....U+1DFF.
71,Latin Extended Additional,.U+1E00....U+1EFF.
72,Greek Extended,.U+1F00....U+1FFF.
73,General Punctuation,.U+2000....U+206F.
74,Superscripts and Subscripts,.U+2070....U+209F.
75,Currency Symbols,.U+20A0....U+20CF.
76,Combining Diacritical Marks for Symbols,.U+20D0....U+20FF.
77,Letterlike Symbols,.U+2100....U+214F.
78,Number Forms,.U+2150....U+218F.
79,Arrows,.U+2190....U+21FF.
80,Mathematical Operators,.U+2200....U+22FF.
81,Miscellaneous Technical,.U+2300....U+23FF.
82,Control Pictures,.U+2400....U+243F.
83,Optical Character Recognition,.U+2440....U+245F.
84,Enclosed Alphanumerics,.U+2460....U+24FF.
85,Box Drawing,.U+2500....U+257F.
86,Block Elements,.U+2580....U+259F.
87,Geometric Shapes,.U+25A0....U+25FF.
88,Miscellaneous Symbols,.U+2600....U+26FF.
89,Dingbats,.U+2700....U+27BF.
90,Miscellaneous Mathematical Symbols-A,.U+27C0....U+27EF.
91,Supplemental Arrows-A,.U+27F0....U+27FF.
92,Braille Patterns,.U+2800....U+28FF.
93,Supplemental Arrows-B,.U+2900....U+297F.
94,Miscellaneous Mathematical Symbols-B,.U+2980....U+29FF.
95,Supplemental Mathematical Operators,.U+2A00....U+2AFF.
96,Miscellaneous Symbols and Arrows,.U+2B00....U+2BFF.
97,Glagolitic,.U+2C00....U+2C5F.
98,Latin Extended-C,.U+2C60....U+2C7F.
99,Coptic,.U+2C80....U+2CFF.
100,Georgian Supplement,.U+2D00....U+2D2F.
101,Tifinagh,.U+2D30....U+2D7F.
102,Ethiopic Extended,.U+2D80....U+2DDF.
103,Cyrillic Extended-A,.U+2DE0....U+2DFF.
104,Supplemental Punctuation,.U+2E00....U+2E7F.
105,CJK Radicals Supplement,.U+2E80....U+2EFF.
106,Kangxi Radicals,.U+2F00....U+2FDF.
107,Ideographic Description Characters,.U+2FF0....U+2FFF.
108,CJK Symbols and Punctuation,.U+3000....U+303F.
109,Hiragana,.U+3040....U+309F.
110,Katakana,.U+30A0....U+30FF.
111,Bopomofo,.U+3100....U+312F.
112,Hangul Compatibility Jamo,.U+3130....U+318F.
113,Kanbun,.U+3190....U+319F.
114,Bopomofo Extended,.U+31A0....U+31BF.
115,CJK Strokes,.U+31C0....U+31EF.
116,Katakana Phonetic Extensions,.U+31F0....U+31FF.
117,Enclosed CJK Letters and Months,.U+3200....U+32FF.
118,CJK Compatibility,.U+3300....U+33FF.
119,CJK Unified Ideographs Extension A,.U+3400....U+4DBF.
120,Yijing Hexagram Symbols,.U+4DC0....U+4DFF.
121,CJK Unified Ideographs,.U+4E00....U+9FFF.
122,Yi Syllables,.U+A000....U+A48F.
123,Yi Radicals,.U+A490....U+A4CF.
124,Lisu,.U+A4D0....U+A4FF.
125,Vai,.U+A500....U+A63F.
126,Cyrillic Extended-B,.U+A640....U+A69F.
127,Bamum,.U+A6A0....U+A6FF.
128,Modifier Tone Letters,.U+A700....U+A71F.
129,Latin Extended-D,.U+A720....U+A7FF.
130,Syloti Nagri,.U+A800....U+A82F.
131,Common Indic Number Forms,.U+A830....U+A83F.
132,Phags-pa,.U+A840....U+A87F.
133,Saurashtra,.U+A880....U+A8DF.
134,Devanagari Extended,.U+A8E0....U+A8FF.
135,Kayah Li,.U+A900....U+A92F.
136,Rejang,.U+A930....U+A95F.
137,Hangul Jamo Extended-A,.U+A960....U+A97F.
